Session log started at 2026-01-12_10-35-33 (t=0.000)
[00:00:00.000] DEBUG: Attempting to initialize MidiBeatSync...
[00:00:00.000] DEBUG: MidiBeatSync initialized successfully.
[00:00:00.000] Starting in MANUAL MODE.
[00:00:00.000] Setting fixed BPM to 100.0
[00:00:00.000] Run type: manual
[00:00:00.000] Prediction model enabled: lgbm_model.joblib
[00:00:00.000] MANUAL: Target set to 100.0
[00:00:00.000] Mode Activated: ManualMode
[00:00:00.000] Session started
[00:00:00.000] DEBUG: Attempting to open serial port COM3...
[00:00:00.000] DEBUG: Serial port COM3 opened successfully.
[00:00:00.000] Setting update stride to 1
[00:00:00.000] Update stride set response: ACK,STRIDE,1
[00:00:00.000] ACK,RESET received
[00:00:00.000] ACK,START received
[00:00:00.000] Session handshake completed
[00:00:00.000] Running main loop...
[00:00:00.000] Session timer started - music is now playing
[00:00:12.479] HARDWARE: Button Delta Received: 1.0
[00:00:12.479] MANUAL: Target set to 101.0
[00:00:13.315] HARDWARE: Button Delta Received: 1.0
[00:00:13.316] MANUAL: Target set to 102.0
[00:00:13.646] HARDWARE: Button Delta Received: 1.0
[00:00:13.647] MANUAL: Target set to 103.0
[00:00:13.973] HARDWARE: Button Delta Received: 1.0
[00:00:13.973] MANUAL: Target set to 104.0
[00:00:15.378] Processed: BPM=104.0
[00:00:17.625] HARDWARE: Button Delta Received: 1.0
[00:00:17.625] MANUAL: Target set to 105.0
[00:00:17.826] HARDWARE: Button Delta Received: 1.0
[00:00:17.826] MANUAL: Target set to 106.0
[00:00:17.886] HARDWARE: Button Delta Received: 1.0
[00:00:17.886] MANUAL: Target set to 107.0
[00:00:17.945] HARDWARE: Button Delta Received: 1.0
[00:00:17.945] MANUAL: Target set to 108.0
[00:00:18.005] HARDWARE: Button Delta Received: 1.0
[00:00:18.006] MANUAL: Target set to 109.0
[00:00:18.067] HARDWARE: Button Delta Received: 1.0
[00:00:18.068] MANUAL: Target set to 110.0
[00:00:18.126] HARDWARE: Button Delta Received: 1.0
[00:00:18.127] MANUAL: Target set to 111.0
[00:00:18.186] HARDWARE: Button Delta Received: 1.0
[00:00:18.186] MANUAL: Target set to 112.0
[00:00:18.246] HARDWARE: Button Delta Received: 1.0
[00:00:18.247] MANUAL: Target set to 113.0
[00:00:18.306] HARDWARE: Button Delta Received: 1.0
[00:00:18.306] MANUAL: Target set to 114.0
[00:00:18.366] HARDWARE: Button Delta Received: 1.0
[00:00:18.366] MANUAL: Target set to 115.0
[00:00:18.426] HARDWARE: Button Delta Received: 1.0
[00:00:18.427] MANUAL: Target set to 116.0
[00:00:18.486] HARDWARE: Button Delta Received: 1.0
[00:00:18.486] MANUAL: Target set to 117.0
[00:00:18.545] HARDWARE: Button Delta Received: 1.0
[00:00:18.546] MANUAL: Target set to 118.0
